sa2_code21,sa2_name,earners,median_age,median_income,mean_income
101021007,Braidwood,2467,51,46640,68904
101021008,Karabar,5103,42,65564,69672
101021009,Queanbeyan,7028,39,63528,69174
101021010,Queanbeyan - East,3398,39,66148,74162
101021012,Queanbeyan West - Jerrabomberra,8422,44,78630,91981
101021610,Googong,3555,37,86579,93292
101021611,Queanbeyan Surrounds,10647,47,72491,86714
101031013,Bombala,1399,48,49960,57429
101031014,Cooma,3752,46,51800,60542
101031015,Cooma Surrounds,2045,49,52056,60052
101031016,Jindabyne - Berridale,4652,44,50482,61725
101041017,Batemans Bay,4314,49,41514,47380
101041018,Batemans Bay - South,4773,51,42637,53636
101041019,Bega - Tathra,5086,48,48189,55527
101041020,Bega-Eden Hinterland,5499,51,40238,46923
101041021,Broulee - Tomakin,2200,51,47421,60129
101041022,Deua - Wadbilliga,15,53,54637,58773
101041023,Eden,1792,50,41531,49729
101041024,Eurobodalla Hinterland,2029,52,43203,51049
101041025,Merimbula - Tura Beach,6694,52,45061,54637
101041026,Moruya - Tuross Head,4671,52,42938,49974
101041027,Narooma - Bermagui,5075,55,36789,46950
101051539,Goulburn,12843,42,55276,62254
101051540,Goulburn Surrounds,7650,49,49386,60075
101061541,Yass,3937,45,59650,65924
101061542,Yass Surrounds,8036,48,66500,81205
101061543,Young,5728,43,48486,55518
101061544,Young Surrounds,3969,49,47082,53871
102011028,Avoca Beach - Copacabana,4749,47,55065,77615
102011029,Box Head - MacMasters Beach,6636,49,51927,71509
102011030,Calga - Kulnura,2965,49,49168,63802
102011031,Erina - Green Point,8010,48,51905,71992
102011032,Gosford - Springfield,12051,41,54372,65283
102011033,Kariong,3853,42,58241,65400
102011034,Kincumber - Picketts Valley,4003,46,51130,62363
102011035,Narara,4182,43,55382,63443
102011036,Niagara Park - Lisarow,4877,44,54614,64711
102011037,Point Clare - Koolewong,3620,47,54865,66327
102011038,Saratoga - Davistown,4214,47,53776,66535
102011039,Terrigal - North Avoca,9151,46,57389,82336
102011040,Umina - Booker Bay - Patonga,12819,46,49626,63262
102011041,Wamberal - Forresters Beach,6469,46,56183,78525
102011042,Woy Woy - Blackwall,7309,45,50544,60264
102011043,Wyoming,5892,42,52860,58658
